t,frontier_floor,d_region,d_mass,d_flow,theta_U,theta_S,f_U,f_S,skilled_share,training_share,ur_U,ur_S,dist_to_z0,dist_to_z1
21.0,0.2711465969216771,0.464591064104891,0.0,0.0,0.22563505640103718,0.6432715791440959,0.2145822862655435,0.19839646280291257,0.3079494154401562,0.050945447914442596,0.10154637006154729,0.04481068422170602,0.053265252035605386,0.014684835569986423
21.5,0.2711464220451389,0.46459258753270954,0.0,0.0,0.22565715861837884,0.6430563259282112,0.21459279577648888,0.19836326605431093,0.3080602963216638,0.05098194274022369,0.10158790425308441,0.044857334359723305,0.05345003055791459,0.014707692780091607
22.0,0.2711462282285723,0.4645940007407238,0.0,0.0,0.22567686053290492,0.6428515363797601,0.2146021635197215,0.19833167787395356,0.30817054002772826,0.05101562602471118,0.10162639180396763,0.04490061324705035,0.05362577629426035,0.014725215006373832
22.5,0.27114601628763035,0.46459530995899745,0.0,0.0,0.22569442375438095,0.6426563662555396,0.21461051402581408,0.19830156877843325,0.3082801415631039,0.051046588275685506,0.10166216950756407,0.04494073178510149,0.053792979162426736,0.014737578633487944
23.0,0.27114578700280556,0.464596520628765,0.0,0.0,0.22571008166218004,0.6424702688249586,0.21461795836871145,0.19827285507828646,0.3083890962419601,0.0510749173655,0.10169553358776294,0.04497788580361204,0.053957639192403956,0.014744992294522887
23.5,0.2711455411254365,0.46459763768369194,0.0,0.0,0.22572404242283078,0.6422930210997162,0.21462459560794406,0.19824550296686408,0.3084973996778996,0.0511006986067816,0.10172674464365128,0.04501225611546325,0.05412771055464558,0.014747602936200341
24.0,0.2711452793806532,0.4645986658609104,0.0,0.0,0.2257364916846848,0.6421239402221519,0.21463051407573902,0.19821940761102833,0.30860504777453335,0.0511240148267836,0.10175603199268939,0.0450440084349706,0.05429002969841065,0.014745570704468879
24.5,0.2711450024668094,0.464599609349036,0.0,0.0,0.22574759500469638,0.6419627494662202,0.21463579253550508,0.19819452679008653,0.30871203671664027,0.051144946440530664,0.1017835974847681,0.04507329672961097,0.05444494792842014,0.014739065954528662
25.0,0.2711447110592812,0.46460047210106054,0.0,0.0,0.22575750000296557,0.6418092970159471,0.2146405012098856,0.19817083752346742,0.30881836296135756,0.05116357152110145,0.1018096188527081,0.04510026297297745,0.0545927905134832,0.014728255904065277
25.5,0.2711444058112059,0.464601257952447,0.0,0.0,0.22576633828886655,0.6416632882527151,0.2146447026994237,0.19814829474881077,0.3089240232298666,0.05117996586859283,0.10183425265364587,0.045125037865902454,0.05473385878843246,0.01471330430541737
26.0,0.27114408735322404,0.46460197047183166,0.0,0.0,0.2257742271816937,0.6415244434883018,0.21464845280290767,0.19812685566834629,0.3090290144994345,0.0511942030773827,0.10185763685138288,0.045147742429210456,0.05486843324210636,0.014694395893950211
26.5,0.2711437562943916,0.46460261301474015,0.0,0.0,0.22578127124673422,0.6413924964562211,0.21465180124946867,0.19810647951962618,0.30913333399564424,0.05120635460125379,0.1018798930838958,0.045168488882211526,0.05500132960170567,0.014671659357183738
27.0,0.27114341322303276,0.464603188741617,0.0,0.0,0.22578756366733285,0.6412671939314589,0.21465479235231283,0.19808712752012578,0.30923697918487697,0.051216489816651854,0.10190112865395005,0.04518738143663682,0.05513462329767916,0.014646324391475568
27.5,0.2711430587075408,0.46460370063461653,0.0,0.0,0.22579318747031024,0.6411484761647677,0.21465746559242377,0.19806879074092268,0.3093399477670284,0.05122467608410511,0.10192143827649713,0.045204517009538946,0.055261818556331596,0.01461751522532672
28.0,0.27114269329712526,0.4646041516295351,0.0,0.0,0.22579821662152894,0.6410361550741219,0.21465985614028663,0.19805144040954645,0.3094422376684494,0.05123097880783929,0.10194090561246603,0.045219985245600704,0.05538313375855569,0.01458517055713635
28.5,0.271142317521054,0.46460454454724165,0.0,0.0,0.22580271700378599,0.640929800623696,0.2146619953214741,0.19803501034887405,0.3095438470351997,0.051235461493940176,0.10195960461450483,0.04523386962207226,0.055498774856128336,0.014549451078776917
29.0,0.2711419318888531,0.46460488193791566,0.0,0.0,0.2258067472908404,0.6408291931302339,0.21466391103270177,0.19801946684635893,0.30964477422644227,0.0512381858065902,0.10197760070832108,0.04524624888471701,0.055608937621605306,0.014513820818682055
29.5,0.2711415368925522,0.46460516621930265,0.0,0.0,0.22581035972776492,0.6407341232925752,0.21466562811322853,0.1980047777708314,0.3097450178078826,0.051239211622165125,0.10199495183000731,0.04525719673552798,0.05571380764577508,0.014477363355613216
30.0,0.2711411330073317,0.464605399687408,0.0,0.0,0.22581360082518076,0.640644400849458,0.2146671686752223,0.19799091391237902,0.3098445765454877,0.05123859708199101,0.10201170933590342,0.045266782253885945,0.055813561208623026,0.014437923651565154
30.5,0.27114072069212697,0.4646055845313032,0.0,0.0,0.22581651198169336,0.6405600220757312,0.21466855239991764,0.1979778748686988,0.30994344939937757,0.051236398643491735,0.10202791880107806,0.04527507025067248,0.055908366024379194,0.014395635702834407
31.0,0.2711403003901294,0.4646057229601007,0.0,0.0,0.225819130039028,0.6404806140922614,0.21466979680172035,0.19796560317633322,0.31004163551788677,0.05123267112978362,0.10204362071994098,0.04528212098813567,0.05599838114846329,0.014350628182961666
31.5,0.27113987252777777,0.46460581696832637,0.0,0.0,0.22582148777875122,0.6404059849436714,0.2146709174644961,0.19795406931060497,0.3101391342318911,0.051227467778068,0.10205885112055302,0.04528799187682601,0.05608375935119677,0.014303039608267759
32.0,0.27113943751671554,0.46460586845039514,0.0,0.0,0.22582361460854689,0.6403359609916169,0.2146719283679159,0.19794324656259785,0.3102359451015363,0.05122084044631993,0.10207364188437193,0.04529273708952893,0.05616464683383523,0.014252977177630006
32.5,0.2711389957544017,0.4646058792139834,0.0,0.0,0.225825536039131,0.6402703757929711,0.21467284163894831,0.19793310932185845,0.3103320677150216,0.05121283905401662,0.10208802206713882,0.04529640777759359,0.056241704377703754,0.014200550201240702
33.0,0.2711385476246047,0.4646058509871108,0.0,0.0,0.2258272751161895,0.6402090699259463,0.21467366823256961,0.19792363305072272,0.3104275019139991,0.05120351234768089,0.10210201726986988,0.04529905228640476,0.05631907064915219,0.014145869274128663
33.5,0.27113809349787066,0.4646057854231113,0.0,0.0,0.22582885235370825,0.640151890320583,0.21467441790014735,0.19791479418193067,0.31052224770306774,0.05119290767224234,0.10211565041306607,0.0453007163762135,0.05639231698958853,0.014089040823514995
34.0,0.27113763373196453,0.46460568410549463,0.0,0.0,0.22583028598572555,0.6400986898090975,0.21467509930915937,0.19790657005012013,0.3106163052425855,0.051181071005385506,0.10212894206568562,0.04530144341419698,0.05646156531752826,0.014030167292456451
34.5,0.27113716867228954,0.4646055485523738,0.0,0.0,0.22583159221547425,0.640049326758234,0.21467572016165998,0.19789893883590834,0.3107096748437218,0.051168046997323136,0.10214191072547557,0.045301274549348146,0.05652693309872508,0.013969347312467073
35.0,0.27113669865228585,0.4646053802204798,0.0,0.0,0.22583278543866556,0.6400036647375826,0.21467628730044477,0.1978918795154556,0.3108023569636351,0.051153879009336364,0.10215457306497895,0.04530024887185678,0.05658853363995999,0.013906675865895102
35.5,0.2711362239938114,0.46460518050879807,0.0,0.0,0.22583387844037153,0.6399615722265769,0.21467680680265938,0.19788537181593732,0.3108943522007718,0.051138609151120694,0.10216694414739665,0.04529840355844751,0.05664647635449177,0.01384224443890051
36.0,0.2711357450075058,0.46460495076191227,0.0,0.0,0.22583488257533452,0.6399229223527199,0.21467728406552475,0.19787939617578065,0.3109856612902823,0.05112227831697532,0.10217903761607922,0.045295774004964845,0.05670086700218599,0.013776141165802976
36.5,0.2711352619931385,0.4646046922730175,0.0,0.0,0.22583580792378657,0.6398875926530894,0.21467772388041678,0.1978739337084422,0.3110762850995533,0.0511049262208735,0.10219086586073106,0.04529239394739004,0.05675180790694282,0.013708450965455164
37.0,0.2711347752399423,0.4646044062867119,0.0,0.0,0.2258366634322751,0.6398554652825558,0.21467813049981618,0.19786896623520384,0.3111662246238508,0.051086591430449205,0.10220244016335121,0.04528829557238685,0.056799398153912335,0.013639255670287594
37.5,0.27113428502693404,0.46460409400194497,0.0,0.0,0.22583745703908037,0.6398264346667302,0.21467850769693078,0.1978644774690599,0.311255480982072,0.05106731139993552,0.10221377082633742,0.04528350961625038,0.05684373376592057,0.013573377968720123
38.0,0.2711337916232171,0.46460375657949,0.0,0.0,0.2258381957862755,0.6398003835395104,0.2146788588189674,0.19786044931012092,0.3113440554126038,0.051047122502089835,0.10222486728494819,0.04527806543038676,0.05688490783189438,0.013533465822644914
38.5,0.27113329528820806,0.4646033951345191,0.0,0.0,0.2258388859179153,0.6397772397683779,0.21467918683380818,0.19785687063270427,0.3114319492692898,0.051026060059152126,0.10223573820601797,0.045271991121195704,0.05692301072588848,0.013491246961392193
39.0,0.2711327962719712,0.46460301076786176,0.0,0.0,0.22583953296766102,0.6397570506557985,0.21467949437166461,0.19785374877567227,0.3115191640174897,0.05100415837282925,0.10224639157472502,0.045265313468414725,0.05695813003871944,0.013446811816530856
39.5,0.2711322948151781,0.4646026046374759,0.0,0.0,0.2258401418399717,0.6397395715123417,0.21467978376367228,0.19785104592333425,0.3116057012302626,0.05098145075343989,0.10225683477073418,0.045258057644559056,0.056990350250507575,0.013400985836107108
40.0,0.2711317911481856,0.46460217777734225,0.0,0.0,0.22584071688135537,0.6397247049239145,0.21468005707575996,0.19784874702915206,0.3116915625847126,0.050957969548367295,0.10226707463475711,0.04525024832294243,0.05701975417986818,0.013356548771711215
40.5,0.2711312854923645,0.46460173118790676,0.0,0.0,0.22584126194007764,0.6397123568876959,0.21468031613703253,0.19784683757086136,0.3117767498582748,0.05093374616917967,0.10227711752766208,0.04524190918968638,0.05704642238668182,0.013310099473180969
41.0,0.2711307780603281,0.4646012658378825,0.0,0.0,0.2258417804230366,0.6397024361264788,0.21468056256680512,0.19784530344476403,0.31186126492516314,0.05090881111813968,0.10228696938222485,0.04523306299676669,0.057070433265102145,0.013261717851401716
41.5,0.2711302690561483,0.4646007826654273,0.0,0.0,0.22584227534514717,0.6396948547264526,0.21468079779807792,0.19784413106464774,0.3119451097529082,0.050883194013912364,0.10229663574860029,0.04522373161382983,0.05709186313304336,0.0132114816250823
42.0,0.2711297586755656,0.46460028257993274,0.0,0.0,0.22584274937290613,0.6396895391410371,0.21468102309824352,0.19784330906369327,0.3120282863989831,0.050856923616496255,0.10230612183433076,0.04521393607225256,0.0571107863100375,0.013159466374742884
42.5,0.27112924710618536,0.4645997664730884,0.0,0.0,0.22584320486469828,0.6396867322653146,0.21468123958824578,0.19784287500767372,0.31211079700751493,0.05083002785140504,0.10231543253957376,0.0452036965563003,0.05712727512556063,0.013105745578588342
43.0,0.27112873452754294,0.4645992354194843,0.0,0.0,0.22584364390385714,0.6396860652767504,0.21468144825829433,0.197842771864242,0.31219264380608935,0.05080253383315013,0.10232457248804955,0.04519303139011866,0.05714139863260233,0.013050390310368582
43.5,0.27112822110867507,0.4645986902567246,0.0,0.0,0.22584406833175935,0.6396874590453856,0.21468164998359493,0.1978429873972315,0.3122738291028167,0.050774467888565725,0.10233354605361662,0.04518195929668904,0.05715322553249524,0.012993470037289229
44.0,0.27112770701048394,0.46459813186276233,0.0,0.0,0.22584447977397148,0.6396908374134321,0.21468184553677772,0.19784350982856488,0.31235435528315453,0.0507458555784495,0.10234235738501765,0.04517049832587602,0.05716282281278799,0.012935052297164108
44.5,0.271127192385888,0.4645975610622163,0.0,0.0,0.2258448796664689,0.6396961270996022,0.21468203560035917,0.19784432782364397,0.31243422480694943,0.05071672171899105,0.10235101042714377,0.045158665883319835,0.05717025580009797,0.012875202745356928
45.0,0.2711266773799601,0.4645969786585126,0.0,0.0,0.2258452692748323,0.6397032576143461,0.2146822207758668,0.1978454304784089,0.31251344020555644,0.05068709040256647,0.1023595089397509,0.0451464787575041,0.057175588209867415,0.012813985200624276
45.5,0.2711261621300524,0.4645963854355868,0.0,0.0,0.22584564971559196,0.6397121611856611,0.21468240159398408,0.19784680730801646,0.3125920040790336,0.05065698501791964,0.10236785651407782,0.045133953145127546,0.05717888219333616,0.012751461689906981
46.0,0.2711256467659088,0.46459578215922676,0.0,0.0,0.22584602197199788,0.6397227726917825,0.21468257852204625,0.19784844823656833,0.3126699190934111,0.05062642826975074,0.10237605658748022,0.04512110467489611,0.057180198381903996,0.012687692492066392
46.5,0.2711251314097633,0.4645951695784024,0.0,0.0,0.2258463869103759,0.6397350296119886,0.21468275197181447,0.19785034358962666,0.3127471879780326,0.05059544219773125,0.10238411245642977,0.04510794842985697,0.05717959592915107,0.012622736180611036
47.0,0.27112461617642614,0.4645945484265935,0.0,0.0,0.2258467452933426,0.6397488719780634,0.2146829223057571,0.19785248408681885,0.31282381352296784,0.050564048194964475,0.10239202728800016,0.045094498968327144,0.05717713255061252,0.012556649665404745
47.5,0.27112410117335545,0.46459391942311784,0.0,0.0,0.22584709779067463,0.6397642423672032,0.21468308984221576,0.19785486084083923,0.3128997985764943,0.05053226702590953,0.1023998041300684,0.04508077034355125,0.05717286456154927,0.01248948823339968
48.0,0.27112358650071505,0.4645932832745037,0.0,0.0,0.22584744499122383,0.6397810857833913,0.2146832548610688,0.19785746533919277,0.31297514604264776,0.05050011884378649,0.1024074459204163,0.04506677612200531,0.057166846912661114,0.012421305588362236
48.5,0.27112307225141713,0.4645926406757984,0.0,0.0,0.2258477874131982,0.6397993495919827,0.2146834176086175,0.19786028943415782,0.31304985887883857,0.05046762320747995,0.1024149554947912,0.0450525294010216,0.0571591332246229,0.01235215388979876
